modelo,conjunto_atributos,ano_teste,data_referencia,municipio,y_real,y_pred
DummyMedia,calendario,2023,2023-10-01,balneario picarras,6,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,balneario picarras,8,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,balneario picarras,5,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,barra velha,19,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,barra velha,14,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,barra velha,6,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,barra velha,15,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,barra velha,6,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,barra velha,9,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,barra velha,14,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,barra velha,10,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,barra velha,11,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,barra velha,5,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,barra velha,10,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,barra velha,24,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,bela vista do toldo,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,bela vista do toldo,1,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,biguacu,24,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,biguacu,21,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,biguacu,19,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,biguacu,16,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,biguacu,28,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,biguacu,15,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,biguacu,26,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,biguacu,28,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,biguacu,27,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,biguacu,23,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,biguacu,24,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,biguacu,26,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,blumenau,23,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,blumenau,22,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,blumenau,24,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,blumenau,20,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,blumenau,21,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,blumenau,19,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,blumenau,21,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,blumenau,19,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,blumenau,19,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,blumenau,19,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,blumenau,25,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,blumenau,16,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,bocaina do sul,2,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,bocaina do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,bocaina do sul,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,bocaina do sul,2,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,bocaina do sul,1,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,bocaina do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,bocaina do sul,1,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,bocaina do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,bocaina do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,bocaina do sul,1,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,bocaina do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,bocaina do sul,1,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,bom retiro,5,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,bom retiro,2,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,bom retiro,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,bom retiro,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,bom retiro,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,bom retiro,6,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,brunopolis,3,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,brunopolis,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,brunopolis,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,brunopolis,2,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,brunopolis,1,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,brunopolis,3,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,brunopolis,3,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,brunopolis,1,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,brunopolis,2,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,brunopolis,1,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,brunopolis,3,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,brunopolis,1,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,caibi,1,4.982283464566929
