modelo,conjunto_atributos,ano_teste,n_treino,n_teste,MAE,RMSE,MAPE_%_sem_zeros,WAPE_%,R2
Poisson,calendario_lags_municipio,2024,3048,1524,2.4814229114700286,3.7834677147213513,54.313091872645224,45.122163430143466,0.8316432978820749
Poisson,calendario_lags_municipio,2025,4572,1524,2.412215818831871,3.9425212946352874,57.42739599270399,44.908586707790995,0.806027621249396
Poisson,calendario_lags_municipio,2026,6096,635,2.567723107781276,4.347635602548374,58.25669269119157,46.08547692032533,0.7801033061808449
RandomForest,calendario_lags_municipio,2023,1524,1524,1.7323175100404988,2.611965410026586,54.637073241539454,33.85115893450084,0.9075303813675156
RandomForest,calendario_lags_municipio,2024,3048,1524,1.7103360394119034,2.667358303847795,47.71974786374601,31.10072931707124,0.9163216590321559
RandomForest,calendario_lags_municipio,2025,4572,1524,1.733305293896975,2.760734499568791,49.671586409443265,32.26920679085011,0.9048867369780846
RandomForest,calendario_lags_municipio,2026,6096,635,1.84956837008835,3.0173388972892896,51.712409389554104,33.19604055981069,0.8940842344742932
HistGradientBoosting,calendario_lags_municipio,2023,1524,1524,1.9858585781068416,3.0839676576192274,61.13990176297288,38.805596525642095,0.8710908177173177
HistGradientBoosting,calendario_lags_municipio,2024,3048,1524,1.7851987865368963,2.7957934692666555,47.971723211217196,32.462032581818754,0.908069310525161
HistGradientBoosting,calendario_lags_municipio,2025,4572,1524,1.864852863581846,3.0498757882946776,52.267836760120815,34.71824779011401,0.8839203471051478
HistGradientBoosting,calendario_lags_municipio,2026,6096,635,1.9500924345218629,3.2548658614657073,51.33228988087506,35.00024578635904,0.8767523585069537
DummyMedia,completo_historico,2023,1524,1524,4.985783888234443,8.59056358573554,133.10591328173768,97.42703738516849,-0.00024764452480741106
DummyMedia,completo_historico,2024,3048,1524,5.175203739296368,9.231880521065897,132.51730503935036,94.10584057615637,-0.0023760827102126125
DummyMedia,completo_historico,2025,4572,1524,5.1058924803034795,8.953317253095756,135.15188638464986,95.05717248940266,-0.0003678905788171427
DummyMedia,completo_historico,2026,6096,635,5.24508881517763,9.27720409998181,133.4124598750282,94.13881847478223,-0.001259498817220317
Ridge,completo_historico,2023,1524,1524,1.9226796017577414,2.864187688039535,61.54810976712247,37.571018246939325,0.8888096311394948
Ridge,completo_historico,2024,3048,1524,1.7449342505550705,2.7026140080190793,48.75748458150495,31.729862759168686,0.9140950099143247
Ridge,completo_historico,2025,4572,1524,1.7444462916706185,2.7741269971760367,49.16505136358239,32.47662043129761,0.9039616977902409
Ridge,completo_historico,2026,6096,635,1.808975017842271,2.9551029845362127,51.36947351757218,32.467471349062805,0.8984084309880254
Poisson,completo_historico,2023,1524,1524,2.5679460361241095,5.137079689199348,51.94195181137079,50.18014821199055,0.6423182106968285
Poisson,completo_historico,2024,3048,1524,2.6070503619753924,4.595193908072431,54.040047752254615,47.406571431219405,0.7516535078106572
Poisson,completo_historico,2025,4572,1524,2.4938464746964346,4.533986959123208,57.47704015314199,46.42831697333699,0.7434616308516391
Poisson,completo_historico,2026,6096,635,2.690279055275733,5.237040254550835,57.79458560140588,48.28511023459838,0.6809312646733545
RandomForest,completo_historico,2023,1524,1524,1.714714757866113,2.5887599617370403,54.43574560271352,33.50718413883775,0.9091661358069096
RandomForest,completo_historico,2024,3048,1524,1.7296102214851725,2.6778748553973775,49.160481583380886,31.45121080471785,0.9156605237200224
RandomForest,completo_historico,2025,4572,1524,1.7320641166249926,2.6955165963927152,50.68308769598576,32.24609960586964,0.9093274527413037
RandomForest,completo_historico,2026,6096,635,1.8789744768684646,3.036042917667861,53.64967448490457,33.72382116482405,0.8927670534623094
HistGradientBoosting,completo_historico,2023,1524,1524,1.9896799615461531,3.067636235268541,61.87056936922558,38.88027005252388,0.8724525025413483
HistGradientBoosting,completo_historico,2024,3048,1524,1.7607540365396075,2.7380767120626204,48.32759570234965,32.01752955120346,0.9118257918527392
HistGradientBoosting,completo_historico,2025,4572,1524,1.844389125664106,3.0481431952591493,50.239110658893395,34.33727128649032,0.8840521961938971
HistGradientBoosting,completo_historico,2026,6096,635,1.9439788150694879,3.242273738680782,52.02498260534744,34.890518585899514,0.8777041319327312
NaiveUltimoMes,lag_1m_direto,2023,1524,1524,2.0938320209973753,3.2901068599068783,66.92682306391153,40.91550198743429,0.8532817185871753
NaiveUltimoMes,lag_1m_direto,2024,3048,1524,2.1646981627296586,3.387970846493947,66.88454887509268,39.362844529292445,0.865001272670866
NaiveUltimoMes,lag_1m_direto,2025,4572,1524,2.1581364829396326,3.353123666107466,67.31676648169764,40.178353286098215,0.8596892526055536
NaiveUltimoMes,lag_1m_direto,2026,6096,635,2.44251968503937,4.108949326400745,72.28581929713927,43.83832673827021,0.8035852957295846
